Time (s),X-Axis (m/s2),Y- Axis (m/s2),Z-Axis (m/s2)
0.58573,-0.003603375816083436,-0.0020360912648851592,0.0025414272230115387,
0.588082187,9.478544285007467E-4,-0.0016288730119081302,0.00394811980575227,
0.590433698,0.012249957727599792,0.004442737192756972,0.006989214838743152,
0.592785156,0.00979996618207983,0.0054694702751215615,-1.543251504898535E-4,
0.595137812,0.005924693914863999,-0.003285539903102215,-0.0058699200813290275,
0.597490052,-0.001006081960508401,-0.004543710953281637,-8.644541314701826E-4,
0.599841667,-0.006550702660806318,0.00594142639137402,-0.002608067211426146,
0.602193802,0.00242055399455441,0.0066684201438990814,-0.007831387851172877,
0.604545729,0.0038517237165595145,-0.006156938069679929,-5.201761989077625E-4,
0.606898021,-0.0026644566290358676,-0.006840830976659929,0.0053303190018105795,
0.609249844,-0.011707963437460264,2.7317380118777046E-4,-0.003397182786832431,
0.611601094,-0.007451091719168343,-0.0016967399898496494,-0.01037842127829336,
0.613953073,0.0017002457280970301,5.578870389201449E-4,-0.008302737022635398,
0.616305,-0.006300922520954079,-0.0033842484304636156,-0.004727211590765279,
0.618656667,-0.012701854139962727,-0.00462267926528688,-0.005696747299955618,
0.621008437,0.0013301908728290124,0.002047695170286211,0.0031032772088632754,
0.623360364,0.00872526882146267,0.009299272259428434,0.01014405975537258,
0.625712917,0.006980215057170135,0.00552413877674288,0.006200269776954315,
0.628065104,0.0017536169643686192,-0.003241805101805162,-7.862441393733377E-4,
0.630417187,-5.123884395372147E-4,-0.008339281173843725,-0.010204648387670545,
